E_fst,E_fst_elstat,E_fst_VdW,E_fst_SP,group_size,type_of_complex_in_group,E_snd_SP,avg_E_fst,avg_E_snd_SP,E_third,alt_E_third,E_third_SP,avg_E_third,avg_alt_E_third,avg_E_third_SP,is_real
6326.45,3383.67,13973.52,-1036.53,18,middle,-857.28,6232.84,-1059.77,-6422.27,-52.42,-643.25,-5498.83,-28.01,-781.27,No
6260.82,3263.31,14147.68,-1175.83,34,middle,-937.55,6415.47,-1013.54,-6400.73,-106.44,-760.08,-5432.77,-72.57,-778.77,Yes
6103.63,3226.25,13359.41,-1438.48,24,middle,-1137.94,6297.67,-1019.12,-6387.53,-108.88,-796.2,-5929.61,-74.72,-734.89,Yes
7013.7,3372.97,17355.44,-1187.5,15,border,-833.21,7282.45,-1052.61,-6360.22,-140.91,-696.95,-281.59,0,-874.65,No
6105.95,2639.36,16463.69,-1216.96,14,border,-956.46,6549.71,-962.78,-6330.41,0,-654.07,0,0,-833.95,No
6132.94,2661.32,16402.43,-1337.92,15,centroid,-1028.1,6219.65,-949.17,-6279.45,0,-784.86,-6279.45,0,-784.86,No
6642.96,3635.95,13923.46,-1556.26,14,middle,-1193.25,6380.24,-1210.63,-6272.03,-0.05,-922.5,-6103.83,0,-970.81,No
7339.89,3224.1,19638.14,-1317.17,16,middle,-888.92,6668.37,-976.04,-6255.03,-13.8,-710.18,-5860.72,-23.7,-705.27,No
6333.24,3370.86,13928.6,-1236.61,16,border,-945.96,6183.18,-1315.66,-6217.67,-42.02,-800.95,0,0,-1108.78,No
7082.06,3952.41,14674.99,-1362.54,15,middle,-1082.9,6696.6,-865.2,-6176.8,-55.44,-719.14,-2286.28,0,-668.61,No
7227.62,3244.7,19001.93,-1277.71,20,centroid,-976.6,6899.0,-1053.1,-6176.55,0,-793.31,-5615.42,0,-853.09,No
6586.72,2656.14,18953.93,-978.5,19,middle,-744.49,6238.5,-817.54,-6125.69,0,-596.21,-6125.69,0,-596.21,No
6093.21,3161.27,13635.76,-1433.51,24,middle,-1118.82,6398.26,-960.85,-6028.0,-96.03,-919.62,-5413.9,-78.03,-902.94,No
6298.06,3173.97,14727.61,-1249.94,14,middle,-871.82,6301.14,-1032.38,-6025.56,-18.38,-739.5,-6025.56,-18.38,-739.5,No
6398.76,3698.51,12640.59,-1204.9,64,border,-912.6,6247.49,-835.81,-6009.5,-67.34,-714.68,-6009.5,-67.34,-714.68,No
6146.31,1988.23,20185.53,-846.8,17,middle,-613.74,6722.58,-763.21,-5994.55,-63.14,-467.26,0,0,-552.71,No
6235.8,2577.46,17507.89,-1097.35,15,middle,-693.69,6300.56,-849.95,-5953.36,0,-671.55,-5745.23,0,-706.69,No
6293.98,2213.99,19800.68,-838.94,32,border,-680.83,6224.93,-824.35,-5908.55,0,-541.08,-5908.55,0,-541.08,No
6087.85,3119.96,14170.46,-936.57,28,border,-668.61,6461.49,-998.86,-5866.53,-96.8,-617.76,-5483.78,-77.12,-771.72,No
6870.33,3099.53,17830.0,-1433.6,16,centroid,-1095.57,6603.85,-987.71,-5808.36,-102.56,-820.55,-5808.36,-102.56,-820.55,No
6715.18,3300.02,15995.6,-1512.31,15,middle,-1176.26,6434.19,-1206.06,-5783.17,0,-891.57,0,0,-1090.42,No
6280.6,2868.83,16539.91,-726.45,30,border,-567.32,6346.7,-741.83,-5740.17,0,-501.47,-5691.26,0,-668.38,No
6882.81,3567.1,15703.7,-1224.85,14,middle,-962.13,6690.54,-995.09,-5641.39,-161.33,-616.91,-5641.39,-161.33,-616.91,No
